image_filename,日文名字 Japanese Name,中文名字 Chinese Name,类型 Type,相关作品 Relevant Work,相关人物 Relevant Character,相关柄图 Relevant Image,Releaser/Event 发行商,发行日期 Release Year/Date,发行价格 Release Price (JPY),发行地区 Release Area,信息来源 Resource,详细信息 Detailed Information
001.jpg,〈和山やま〉「カラオケ行こ!&ファミレス行こ。」 全10種コンプリートBOXアクリルチャームコレクション,《我们去唱卡拉OK吧！》&《我们去家庭餐厅吧。》 亚克力挂件（共10款）,亚克力挂件/钥匙环,"去唱卡拉OK吧 （漫画）, 去家庭餐厅吧/去恰饭吧 （漫画）","成田狂儿, 冈聪实","聪实 蒙娜丽莎 , 聪实 狂儿 空港再会 , 丰田世纪, 猫猫恐慌：真棒~, 和山山的狗 麦克风, 和山山的狗",RE:SHAZAM,8/7/21,8800 (端盒）/880 （单个）,日本,https://store.re-shazam.com/items/49528599,"・狂児&聡実くん （去唱卡拉OK吧 - 狂儿聪实机场重遇）
・カラオケ行こ！（去唱卡拉OK吧 - 狂儿聪实初遇）
・和山先生の犬-カラオケ行こ!ver-(描き下ろしイラスト) （和山山老师的狗-拿话筒版）
・大学生の聡実くん(描き下ろしイラスト) （聪实-大学生）
・ねこねこぱにっく(描き下ろしイラスト) （狂儿-猫猫恐慌表情包 - 太棒啦）
・どうしたらええんやボクは... （狂儿-我究竟该如何是好~ 不想换歌）
・バイトの狂児 （狂儿-二十岁的打工版）
・狂児 （狂儿-烂歌王会被组长刺青啊））
・狂児の車 （狂儿的车 - 丰田世纪）
・モナリザの聡実くん （聪实-蒙娜丽莎）"
002.jpeg,〈和山 やま〉和山やま作品セレクション アクリルチャーム〈全8種〉,《我们去唱卡拉OK吧！》& 《为你着迷》亚克力挂件（共8款）,亚克力挂件/钥匙环,"去唱卡拉OK吧 （漫画）, 为你着迷（漫画）","成田狂儿, 冈聪实, 林美良, 二阶堂明","狂儿 递名片 , 二阶堂 运动衣 , 狂儿 唱红 , 聪实 唱红 , 和山山的狗, 林美良 熊猫头, 林美良 嘘",RE:SHAZAM,1/11/21,7040 (端盒）/880 （单个）,日本,https://store.re-shazam.com/items/37226687,"・和山先生の犬 （和山山老师的狗-看小花版）
・パンダの林くん （林美良-熊猫版）
・林くん （林美良-嘘版）
・ジャージの二階堂 （二阶堂-运动服版）
・紅（〜狂児ver〜）（红-狂儿版）
・KARAOKE IKO!(狂児&聡実くん) （去唱卡拉OK吧 - 狂儿&聪实）
・狂児のよろぴく （狂儿-递名片~请多主教）
・紅（〜聡実ver〜）（红-聪实版）"
003.jpeg,"女の園の星アクションム
(全10種)",《女校之星》 亚克力挂件 （共10款）,亚克力挂件/钥匙环,女校之星（漫画）,"星老师, 小林老师, 中村老师","星老师 锹甲虫幸运男孩, 小林星 放大镜, 中村老师, 奶茶/节子",RE:SHAZAM,8/7/21,8800 (端盒）/880 （单个）,日本,,"・クワガタボーイ （星老师 - 锹甲虫男孩版）
・星先生A（星老师 A-全身照） 
・星先生B （星老师 B-喝水） 
・星先生&小林先生 A（星老师和小林老师 A-看漫画） 
・星先生&小林先生 B（星老师和小林老师 B） 
・小林先生 （小林老师）
・中村先生 （中村老师）
・ナリ坊 （小林老师创作的排球部吉祥物）
・し･･･死んでる･･･ （她死了。。。）
・セツコ(タピオカ) （被画了眉毛的节子/奶茶）"
004.jpeg,女の園の星 BIGアクリルキーホルダー,《女校之星》大 亚克力挂件,亚克力挂件/钥匙环,女校之星（漫画）,"小林老师, 星老师",小林星 擦黑板,BOOTH,10/8/24,2970,日本,https://x.com/onna_sono_Hoshi/status/1843607527981973726?lang=en,"这幅人气爆棚的插画现在推出大号亚克力钥匙扣啦！
可爱的老师主题装饰品由山山老师绘制，首次公开亮相哦！🪿💎💎💎
可以摆放在显眼的位置，也可以挂在包包上。记得带上星老师和小林老师哦！"
005.jpg,描き下ろし商品〈和山やま〉 「カラオケ行こ！」 アクリルプレート,《我们去唱卡拉OK吧！》聪实 狂儿 训狗大师 亚克力板,亚克力立牌/亚克力板,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 训狗大师,RE:SHAZAM,3/31/24,4950,日本,https://store.re-shazam.com/items/83720704,宽18.5cm * 高 24cm，附支架
006.jpg,描き下ろし商品〈和山やま〉 「ファミレス行こ。」 アクリルプレート,《我们去家庭餐厅吧。》亚克力板,亚克力立牌/亚克力板,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 郁金香松饼咖啡,RE:SHAZAM,3/31/24,4950,日本,https://store.re-shazam.com/items/83720635,宽18.5cm * 高 24cm，附支架
007.jpg,「ファミレス行こ。」A5リングノート,《我们去家庭餐厅吧。》A5线圈笔记本,笔记本,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 郁金香松饼咖啡,RE:SHAZAM,8/7/21,1650,日本,https://nijimen.kusuguru.co.jp/topics/200304,
008.jpg,「ファミレス行こ。」F4キャンバスアート - 008,《我们去家庭餐厅吧。》F4帆布画,帆布挂画,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 郁金香松饼咖啡,RE:SHAZAM,8/7/21,7700,日本,https://nijimen.kusuguru.co.jp/topics/200304,
009.jpg,「ファミレス行こ。」ロングスリーブTシャツ,《我们去家庭餐厅吧。》长袖T恤,衣服,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 郁金香松饼咖啡,RE:SHAZAM,8/7/21,7980,日本,https://nijimen.kusuguru.co.jp/topics/200304,"M：胸长 约70cm/衣长 约52cm/肩长 约47cm/袖长 约58cm
L：胸长 约74cm/衣长 约55cm/肩长 约50cm/袖长 约59cm
XL：胸长 约78cm/衣长 约58cm/肩长 约53cm/袖长 约60cm"
010.jpg,描き下ろし商品〈和山やま〉 「カラオケ行こ！」 狂児＆聡実くんTシャツ,《我们去唱卡拉OK吧！》聪实 狂儿 训狗大师 T恤,衣服,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 训狗大师,RE:SHAZAM,12/18/20,5830,日本,https://store.re-shazam.com/items/37271381,"M：胸长65cm/衣长47.5cm/肩长 43cm/袖长18.5cm
L：胸长68cm/衣长50cm/肩长 45.5cm/袖长19.5cm
XL：胸长71cm/衣长52.5cm/肩长 48cm/袖长20.5cm"
